txid	ODPE_1	RVG_11	RVG_4	Avg1DPE	Median1DPE
crovir-transcript-7501	74.43308773093727	158.15917648933313	116.02812060766031	116.20679494264357	74.43308773093727
crovir-transcript-7531	13.605301616967562	12.68752935014035	12.17170706488569	12.821512677331201	13.605301616967562
crovir-transcript-7526	5.493187911392501	7.192417964336678	8.449492346129146	7.045032740619441	5.493187911392501
crovir-transcript-7546	4.01211705722133	10.98589593934871	5.682873705733464	6.893628900767835	4.01211705722133
crovir-transcript-7544	28.39811738766935	19.209138785919983	17.988302404905678	21.86518619283167	28.39811738766935
crovir-transcript-7545	0	0.5004991321747182	0	0.1668330440582394	0
crovir-transcript-7541	0.5089366245946719	0.5343458360771811	0.4188850397346534	0.4873891668021688	0.5089366245946719
crovir-transcript-7542	0	0	0	0	0
crovir-transcript-7543	11.323941031076142	12.631490296115276	22.7915977614793	15.582343029556906	11.323941031076142
crovir-transcript-7548	16.141395801359426	18.029013240794626	21.19998908344452	18.456799375199523	16.141395801359426
crovir-transcript-7547	6.878798665239808	24.50399508110211	11.087416431105485	14.1567367258158	6.878798665239808
crovir-transcript-7549	218.60686269057663	202.90207543206006	395.9777349418182	272.4955576881516	218.60686269057663
crovir-transcript-7566	109.0038471931218	92.09486811150835	153.17962896006003	118.09278142156339	109.0038471931218
crovir-transcript-7569	0.899091968810229	0.6742715056218617	0.59200483027548	0.7217894349025236	0.899091968810229
crovir-transcript-7568	44.32649241359526	55.78537409139785	49.92927932052299	50.01371527517203	44.32649241359526
crovir-transcript-7567	8.565073288898182	8.156638401268	6.657921106334127	7.79321093216677	8.565073288898182
crovir-transcript-7577	37.87784895536289	54.8503289376525	75.38169954232863	56.03662581178134	37.87784895536289
crovir-transcript-7572	1.4224852661500267	0.2909424120227942	0.9579189084816891	0.89044886221817	1.4224852661500267
crovir-transcript-7576	31.60479440181657	30.563011268051135	63.491331664619835	41.88637911149585	31.60479440181657
crovir-transcript-7574	1.996714723035575	2.994861236231784	5.1128457080883765	3.3681405557852453	1.996714723035575
crovir-transcript-7575	375.6009904975614	324.32343764921734	299.6940679001183	333.20616534896567	375.6009904975614
crovir-transcript-7570	16.74081379810755	10.214014741861302	10.742702054584178	12.565843531517677	16.74081379810755
crovir-transcript-7571	24.811920060436066	32.559511132628046	49.59551445348478	35.65564854884963	24.811920060436066
crovir-transcript-7573	0	0.6490253806662332	2.3743289184588883	1.0077847663750406	0
crovir-transcript-7539	2.945731605067205	12.518477978507587	4.579633580577433	6.681281054717408	2.945731605067205
crovir-transcript-7540	1.8864584218309173	19.099046883787242	6.210668855799127	9.065391387139096	1.8864584218309173
crovir-transcript-7538	0.707421908186594	1.5915872403156037	1.4556255130779205	1.2515448871933728	0.707421908186594
crovir-transcript-7585	0.31251570241174836	0.4687405527033906	0.7716568984991387	0.5176377178714259	0.31251570241174836
crovir-transcript-7584	6.019291674921018	12.006710760275604	9.550946348967408	9.19231626138801	6.019291674921018
crovir-transcript-7587	39.97460054404434	50.817789411486466	67.60850464500989	52.80029820018023	39.97460054404434
crovir-transcript-7589	12.32872359794705	21.556433027861534	20.92162063656632	18.268925754124968	12.32872359794705
crovir-transcript-7586	27.15296005039608	38.739910700447886	61.32209608285708	42.404988944567016	27.15296005039608
crovir-transcript-7588	7.059633063140443	13.380271562570766	9.191149631442935	9.877018085718047	7.059633063140443
crovir-transcript-7590	2.2075577276744776	5.3805431528399845	1.362713246285713	2.9836047089333917	2.2075577276744776
crovir-transcript-7552	0	0	0	0	0
crovir-transcript-7553	0	0	0	0	0
crovir-transcript-7551	0	0	0	0	0
crovir-transcript-7554	16.990482511031733	39.754930194782766	28.52771747901182	28.42437672827544	16.990482511031733
crovir-transcript-7555	0	0	2.51783872532397	0.83927957510799	0
crovir-transcript-7537	17.22078227397518	30.67235898810154	68.74256918192603	38.87857014800092	17.22078227397518
crovir-transcript-7600	2.900350723090769	5.785792353290416	8.164089720759057	5.616744265713414	2.900350723090769
crovir-transcript-7601	0	0	0	0	0
crovir-transcript-7596	99.87132821457796	48.68384499788905	23.29000820924673	57.28172714057124	99.87132821457796
crovir-transcript-7595	13.699812817319177	24.580594861476193	20.36911271684238	19.54984013187925	13.699812817319177
crovir-transcript-7598	0.7639759737779486	0.16369761237467637	0.5389693344355835	0.4888809735294028	0.7639759737779486
crovir-transcript-7599	0.10358257557474256	0	0.7672914518187773	0.2902913424645066	0.10358257557474256
crovir-transcript-7597	0	0	0	0	0
crovir-transcript-7550	0	0	0	0	0
crovir-transcript-7583	0	0	0	0	0
crovir-transcript-7582	4.412957002425293	4.850106965518094	4.0704854240067	4.444516463983362	4.412957002425293
crovir-transcript-7580	0.158728016115299	0	0	0.052909338705099666	0.158728016115299
crovir-transcript-7581	0.25879496121563195	1.6982223724007688	0.8520144345931041	0.9363439227365016	0.25879496121563195
crovir-transcript-7607	0	0.16392752475160713	0	0.05464250825053571	0
crovir-transcript-7605	4.148121422909573	9.508703251168907	10.628957731904151	8.095260801994211	4.148121422909573
crovir-transcript-7606	0	0	0	0	0
crovir-transcript-7558	0	0	0	0	0
crovir-transcript-7557	0	0	0	0	0
crovir-transcript-7556	0	0.37230110884575524	0	0.12410036961525174	0
crovir-transcript-7564	1.3311431486903833	2.620503581702811	2.6020732621521203	2.1845733308484383	1.3311431486903833
crovir-transcript-7563	0	0	0	0	0
crovir-transcript-7565	0	0	0	0	0
crovir-transcript-7593	0.3468784988136345	0.26014055933836017	0.47583597752918644	0.3609516785603937	0.3468784988136345
crovir-transcript-7594	18.709956478814835	28.700753513887932	23.09910650261356	23.503272165105443	18.709956478814835
crovir-transcript-7562	0	0	0	0	0
crovir-transcript-7615	0.38215548140221156	0	0	0.12738516046740386	0.38215548140221156
crovir-transcript-7617	0	0	0	0	0
crovir-transcript-7614	0.6994733474204524	0.17485602640171427	0.1919026893645798	0.3554106877289155	0.6994733474204524
crovir-transcript-7616	0	0	0	0	0
crovir-transcript-7613	8.617866136332228	11.611391973771275	8.65588291962619	9.628380343243231	8.617866136332228
crovir-transcript-7611	3.741173552909872	4.769660479791954	6.774257195478015	5.09503040939328	3.741173552909872
crovir-transcript-7612	16.440573063759455	23.208586833186253	29.621623845360183	23.090261247435297	16.440573063759455
crovir-transcript-7609	24.165771175859344	52.00528096626174	35.45584372108109	37.20896528773406	24.165771175859344
crovir-transcript-7610	0	0	0	0	0
crovir-transcript-7578	0	0	0.07357555723771222	0.024525185745904076	0
crovir-transcript-7602	18.933433065821248	45.72102193996649	33.03667831141324	32.56371110573366	18.933433065821248
crovir-transcript-7579	0	0	0	0	0
crovir-transcript-7591	0	0	0	0	0
crovir-transcript-7592	55.65413734903472	85.26408613082825	117.1341664470161	86.01746330895969	55.65413734903472
crovir-transcript-7604	0.926385832149111	0	0	0.30879527738303697	0.926385832149111
crovir-transcript-7603	0	0	0	0	0
crovir-transcript-7634	0.13445599982812154	0	0.331995797367232	0.15548393239845118	0.13445599982812154
crovir-transcript-7632	0	0	0	0	0
crovir-transcript-7635	0	0	0.08876995505949896	0.029589985019832985	0
crovir-transcript-7633	0	0	0	0	0
crovir-transcript-7636	0	0	0	0	0
crovir-transcript-7637	0	0	0	0	0
crovir-transcript-7647	0	0	0	0	0
crovir-transcript-7648	0	0	0	0	0
